strategy_name,pairs,passed_count,avg_sharpe,avg_win_rate,avg_max_drawdown,avg_profit_factor,avg_total_return,total_trades
crypto_volume_absorption_reversal_v2,3,2,4.290166666666667,0.6852,0.00013333333333333334,335.9157666666667,0.005066666666666666,18
crypto_variance_ratio_regime_router_v2,3,2,3.5290999999999997,0.4852,0.031900000000000005,1.9047333333333334,0.08073333333333334,507
crypto_donchian_adx_volume_thrust_v2,3,2,2.831633333333333,0.5432333333333333,0.006599999999999999,1.6536333333333333,0.014233333333333334,75
crypto_swing_break_retest_v2,3,1,1.6532,0.5,0.0043,2.0713666666666666,0.022566666666666665,28
crypto_rsi_failure_swing_reversal_v2,3,1,0.008066666666666666,0.41206666666666675,0.0315,1.0858,0.0013666666666666669,302
crypto_ema_pullback_cci_reentry_v2,3,1,-1.694733333333333,0.5292666666666667,0.0017666666666666666,3.8269333333333333,-0.0014000000000000002,19
crypto_vwma_deviation_reclaim_v2,3,0,0.10380000000000002,0.3922666666666667,0.037366666666666666,1.0313333333333332,0.0296,568
crypto_range_expansion_followthrough_v2,3,0,0.0,0.0,1.0,0.0,0.0,0
crypto_volatility_compression_trend_thrust_v2,3,0,-5.094133333333334,0.11109999999999999,0.3347,0.04396666666666666,-0.0013666666666666669,4
crypto_efficiency_ratio_channel_break_v2,3,0,-5.1221000000000005,0.3383,0.015666666666666666,0.5855,-0.013900000000000001,50
