strategy_name,tested_pairs,pass_count,avg_sharpe,avg_win_rate,avg_drawdown,avg_return,avg_trades
crypto_liquidation_flow_exhaustion_v1,3,3,4.243533333333334,0.5121666666666667,0.010166666666666666,0.015466666666666665,26.666666666666668
crypto_mtf_impulse_alignment_v1,3,2,2.3839,0.47940000000000005,0.0231,0.08463333333333334,188.66666666666666
crypto_funding_flow_trend_router_v1,3,2,2.2434,0.4859,0.02656666666666667,0.0212,99.66666666666667
crypto_flow_whale_breakout_v1,3,1,4.695833333333333,0.38886666666666664,0.0041,0.0018333333333333333,6.333333333333333
crypto_governance_social_regime_v1,3,1,1.4082666666666668,0.4498,0.03353333333333334,0.06723333333333333,198.33333333333334
crypto_whale_social_divergence_v1,3,1,1.3149,0.4580666666666667,0.02413333333333333,0.034666666666666665,171.66666666666666
crossasset_risk_triad_rotation_v1,3,1,0.7484666666666667,0.45456666666666673,0.05013333333333333,0.0082,169.0
crossasset_spxbtc_residual_momentum_v1,3,0,0.0,0.0,1.0,0.0,0.0
crypto_dxy_funding_squeeze_v1,3,0,0.0,0.0,1.0,0.0,0.0
crypto_vix_liquidation_panicfade_v1,3,0,-8.5459,0.16666666666666666,0.0029999999999999996,-0.0029999999999999996,2.3333333333333335
