trade_id,strategy,symbol,direction,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,position_size_pct,capital_at_risk,pnl_pct,pnl_amount,exit_reason,hold_time_hours,is_win,timeframe,created_at
058E234C15EB69AA,FLASH_REV_v1,BNBUSDT,LONG,2020-01-03 06:00:00,2020-01-03 20:53:54,4996.34666236,5087.35408526,4921.40146242,5121.25532892,0.1126,1125.85,1.8215,20.51,TIME_EXIT,14.9,True,1h,2026-03-08T18:36:22.437977
7BBEFA3F76AF64E2,FLASH_REV_v1,BTCUSDT,LONG,2020-01-08 08:00:00,2020-01-09 01:41:36,47799.59107778,48641.43656672,47082.59721162,48994.58085473,0.0853,853.01,1.7612,15.02,TIME_EXIT,17.69,True,1h,2026-03-08T18:36:22.437986
97B0269008F756F5,FLASH_REV_v1,BTCUSDT,LONG,2020-01-14 01:00:00,2020-01-14 14:18:16,36752.79146889,37232.51812374,36201.49959686,37671.61125561,0.1182,1182.35,1.3053,15.43,TIME_EXIT,13.3,True,1h,2026-03-08T18:36:22.436092
7B34627662360131,FLASH_REV_v1,SOLUSDT,LONG,2020-02-01 14:00:00,2020-02-01 20:41:13,429.79563796,438.62119993,423.34870339,440.54052891,0.0982,982.05,2.0534,20.17,TRAILING_STOP,6.69,True,1h,2026-03-08T18:36:22.437827
B73995FE089996E8,FLASH_REV_v1,SOLUSDT,LONG,2020-02-13 10:00:00,2020-02-13 20:08:14,4310.84514658,4380.39320585,4246.18246939,4418.61627525,0.107,1069.7,1.6133,17.26,TIME_EXIT,10.14,True,1h,2026-03-08T18:36:22.438094
1EA53E3EB2B0E883,FLASH_REV_v1,ETHUSDT,LONG,2020-02-17 03:00:00,2020-02-17 13:46:36,418.28554477,425.07674966,412.01126159,428.74268338,0.0943,943.31,1.6236,15.32,TIME_EXIT,10.78,True,1h,2026-03-08T18:36:22.436608
B9ECA9022A30FA8E,FLASH_REV_v1,DOTUSDT,LONG,2020-02-23 18:00:00,2020-02-24 01:19:08,2316.20555072,2300.13873425,2281.46246746,2374.11068949,0.1096,1096.24,-0.6937,-7.6,TIME_EXIT,7.32,False,1h,2026-03-08T18:36:22.436904
2202343C92DD83B9,FLASH_REV_v1,SOLUSDT,LONG,2020-03-07 01:00:00,2020-03-07 13:47:53,4060.22413986,4103.00921223,3999.32077776,4161.72974336,0.1104,1104.39,1.0538,11.64,TRAILING_STOP,12.8,True,1h,2026-03-08T18:36:22.437928
B10885BCF7ADF7DE,FLASH_REV_v1,BNBUSDT,LONG,2020-03-19 06:00:00,2020-03-19 15:18:33,4573.69246686,4642.54438116,4505.08707986,4688.03477854,0.0823,822.95,1.5054,12.39,TAKE_PROFIT,9.31,True,1h,2026-03-08T18:36:22.436750
81443D00993215B0,FLASH_REV_v1,ETHUSDT,LONG,2020-03-20 19:00:00,2020-03-21 01:23:50,1726.21048608,1753.58845956,1700.31732879,1769.36574823,0.0932,931.71,1.586,14.78,TAKE_PROFIT,6.4,True,1h,2026-03-08T18:36:22.437401
692A657F20DFFD31,FLASH_REV_v1,BNBUSDT,LONG,2020-03-21 11:00:00,2020-03-21 22:17:52,2524.99104345,2570.96260847,2487.1161778,2588.11581954,0.106,1059.68,1.8207,19.29,TIME_EXIT,11.3,True,1h,2026-03-08T18:36:22.437789
91090FFAD26A96A4,FLASH_REV_v1,ETHUSDT,LONG,2020-03-31 08:00:00,2020-03-31 20:51:02,1324.15529512,1348.31895944,1304.29296569,1357.25917749,0.1091,1091.34,1.8248,19.92,TAKE_PROFIT,12.85,True,1h,2026-03-08T18:36:22.437286
C31B02ECFC7A5890,FLASH_REV_v1,BTCUSDT,LONG,2020-03-31 21:00:00,2020-04-01 11:27:17,40731.03310241,40521.76175728,40120.06760587,41749.30892997,0.1095,1095.29,-0.5138,-5.63,STOP_LOSS,14.45,False,1h,2026-03-08T18:36:22.437855
446280BAEBF455DD,FLASH_REV_v1,LINKUSDT,LONG,2020-04-01 21:00:00,2020-04-02 07:55:21,3039.9164775,3093.1911766,2994.31773033,3115.91438943,0.1113,1113.03,1.7525,19.51,TIME_EXIT,10.92,True,1h,2026-03-08T18:36:22.437873
560EFDD0D93EF0B0,FLASH_REV_v1,AVAXUSDT,LONG,2020-04-04 13:00:00,2020-04-05 06:50:41,2699.58390065,2730.0885,2659.09014214,2767.07349817,0.1075,1074.56,1.13,12.14,TRAILING_STOP,17.84,True,1h,2026-03-08T18:36:22.437665
888A705A454CEF34,FLASH_REV_v1,SOLUSDT,LONG,2020-04-28 15:00:00,2020-04-29 06:55:12,4609.69753656,4692.40439044,4540.55207351,4724.93997497,0.1009,1008.76,1.7942,18.1,TAKE_PROFIT,15.92,True,1h,2026-03-08T18:36:22.437306
8C9DBBCB5F145E3A,FLASH_REV_v1,DOTUSDT,LONG,2020-05-05 19:00:00,2020-05-06 11:37:25,1047.83457072,1041.8678516,1032.11705216,1074.03043499,0.0927,927.12,-0.5694,-5.28,TIME_EXIT,16.62,False,1h,2026-03-08T18:36:22.436494
E9B580D1CF22C60C,FLASH_REV_v1,DOTUSDT,LONG,2020-05-11 05:00:00,2020-05-11 19:27:54,710.79747415,707.28835498,700.13551204,728.56741101,0.1084,1083.62,-0.4937,-5.35,STOP_LOSS,14.47,False,1h,2026-03-08T18:36:22.437643
145FC2631DC35718,FLASH_REV_v1,XRPUSDT,LONG,2020-05-12 00:00:00,2020-05-12 12:58:00,1140.79611729,1154.3195271,1123.68417553,1169.31602022,0.0871,870.66,1.1854,10.32,TIME_EXIT,12.97,True,1h,2026-03-08T18:36:22.436741
2D07FB1214584110,FLASH_REV_v1,LINKUSDT,LONG,2020-05-16 06:00:00,2020-05-16 14:59:39,2444.27102865,2430.5635486,2407.60696322,2505.37780437,0.119,1189.64,-0.5608,-6.67,STOP_LOSS,8.99,False,1h,2026-03-08T18:36:22.437296
BF00B131EA02EC09,FLASH_REV_v1,ETHUSDT,LONG,2020-05-17 16:00:00,2020-05-17 23:17:43,4322.28637271,4391.18269401,4257.45207712,4430.34353202,0.1151,1150.95,1.594,18.35,TAKE_PROFIT,7.3,True,1h,2026-03-08T18:36:22.436867
