trade_id,strategy,symbol,direction,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,position_size_pct,capital_at_risk,pnl_pct,pnl_amount,exit_reason,hold_time_hours,is_win,timeframe,created_at
B9FB0911EB6C817D,MTF_RSI_v1,LINKUSDT,SHORT,2020-01-01 10:00:00,2020-01-01 19:28:51,786.96365894,781.03346898,798.76811383,767.28956747,0.0838,837.83,0.7536,6.31,TIME_EXIT,9.48,True,1h,2026-03-08T18:36:22.395379
F8EDC29E9782EC00,MTF_RSI_v1,ETHUSDT,SHORT,2020-01-03 01:00:00,2020-01-03 07:48:37,1096.77776706,1089.89959109,1113.22943357,1069.35832289,0.0849,848.86,0.6271,5.32,TAKE_PROFIT,6.81,True,1h,2026-03-08T18:36:22.402447
368060D4CEB2A080,MTF_RSI_v1,ADAUSDT,LONG,2020-01-03 15:00:00,2020-01-03 20:52:31,3366.36588571,3384.3169118,3315.87039742,3450.52503285,0.1019,1019.35,0.5332,5.44,TRAILING_STOP,5.88,True,1h,2026-03-08T18:36:22.399456
3F491DD7C04F9FD6,MTF_RSI_v1,ETHUSDT,SHORT,2020-01-13 19:00:00,2020-01-14 05:22:00,3034.1198076,3043.13729814,3079.63160471,2958.26681241,0.1014,1014.1,-0.2972,-3.01,STOP_LOSS,10.37,False,1h,2026-03-08T18:36:22.400938
3888C96E009D6AC1,MTF_RSI_v1,DOTUSDT,SHORT,2020-01-20 11:00:00,2020-01-20 15:11:00,1139.6747742,1130.86289227,1156.76989582,1111.18290485,0.0965,964.61,0.7732,7.46,TAKE_PROFIT,4.18,True,1h,2026-03-08T18:36:22.400576
75E9D1D7F8BB9427,MTF_RSI_v1,BTCUSDT,SHORT,2020-01-23 18:00:00,2020-01-24 05:50:12,30907.43076934,30709.26658156,31371.04223088,30134.74500011,0.1092,1092.44,0.6412,7.0,TRAILING_STOP,11.84,True,1h,2026-03-08T18:36:22.399166
B13FD6A154A2CD3D,MTF_RSI_v1,ETHUSDT,LONG,2020-01-23 21:00:00,2020-01-24 07:24:23,1341.09792047,1335.84387201,1320.98145167,1374.62536848,0.1185,1185.21,-0.3918,-4.64,TIME_EXIT,10.41,False,1h,2026-03-08T18:36:22.403203
E465E1612A2A931E,MTF_RSI_v1,BTCUSDT,SHORT,2020-01-25 08:00:00,2020-01-25 15:58:16,985.359983,980.23072063,1000.14038275,960.72598343,0.0969,969.27,0.5205,5.05,TIME_EXIT,7.97,True,1h,2026-03-08T18:36:22.397817
2FC282C4930F141F,MTF_RSI_v1,ETHUSDT,SHORT,2020-01-26 03:00:00,2020-01-26 14:48:39,987.94145936,980.04977485,1002.76058125,963.24292288,0.0846,845.71,0.7988,6.76,TRAILING_STOP,11.81,True,1h,2026-03-08T18:36:22.402808
52F70FE510043E1B,MTF_RSI_v1,AVAXUSDT,SHORT,2020-01-26 19:00:00,2020-01-26 21:09:04,2617.15307181,2600.15152484,2656.41036789,2551.72424502,0.1126,1125.76,0.6496,7.31,TRAILING_STOP,2.15,True,1h,2026-03-08T18:36:22.400958
3FB9D1D9E07E2F58,MTF_RSI_v1,LTCUSDT,SHORT,2020-02-01 05:00:00,2020-02-01 08:12:46,686.70226343,682.47488356,697.00279738,669.53470685,0.0942,941.79,0.6156,5.8,TRAILING_STOP,3.21,True,1h,2026-03-08T18:36:22.401076
72866DADD2DD85C7,MTF_RSI_v1,BTCUSDT,LONG,2020-02-02 09:00:00,2020-02-02 18:10:50,19940.43952802,20066.82885057,19641.3329351,20438.95051622,0.0835,834.57,0.6338,5.29,TIME_EXIT,9.18,True,1h,2026-03-08T18:36:22.398149
8756C0D6D0DD0A77,MTF_RSI_v1,ADAUSDT,LONG,2020-02-04 19:00:00,2020-02-05 00:56:32,263.29850347,265.13480588,259.34902592,269.88096606,0.102,1019.65,0.6974,7.11,TRAILING_STOP,5.94,True,1h,2026-03-08T18:36:22.398028
82E76E5C62BB5BBD,MTF_RSI_v1,LINKUSDT,LONG,2020-02-07 21:00:00,2020-02-08 02:05:06,888.49651826,885.48744634,875.16907048,910.70893121,0.0855,855.05,-0.3387,-2.9,TIME_EXIT,5.09,False,1h,2026-03-08T18:36:22.400244
D0C32F2DB197B5C9,MTF_RSI_v1,XRPUSDT,SHORT,2020-02-14 23:00:00,2020-02-15 07:01:02,4670.63445227,4637.76633386,4740.69396905,4553.86859096,0.0996,996.32,0.7037,7.01,TAKE_PROFIT,8.02,True,1h,2026-03-08T18:36:22.401907
60BC0D420D35D72B,MTF_RSI_v1,ETHUSDT,SHORT,2020-02-15 08:00:00,2020-02-15 12:37:16,2094.35526045,2101.35752496,2125.77058936,2041.99637894,0.1078,1077.74,-0.3343,-3.6,STOP_LOSS,4.62,False,1h,2026-03-08T18:36:22.403008
E75C6481FF678866,MTF_RSI_v1,ETHUSDT,LONG,2020-02-18 08:00:00,2020-02-18 15:01:08,1270.40484709,1277.0682697,1251.34877439,1302.16496827,0.0903,903.07,0.5245,4.74,TRAILING_STOP,7.02,True,1h,2026-03-08T18:36:22.399195
331C5290F8A10EED,MTF_RSI_v1,XRPUSDT,SHORT,2020-02-19 00:00:00,2020-02-19 02:07:33,4194.35121529,4207.79243586,4257.26648352,4089.49243491,0.0976,976.08,-0.3205,-3.13,TIME_EXIT,2.13,False,1h,2026-03-08T18:36:22.395859
AA025217C8DDDD00,MTF_RSI_v1,DOTUSDT,LONG,2020-02-19 00:00:00,2020-02-19 05:03:30,4921.54101446,4951.39691985,4847.71789924,5044.57953982,0.0915,915.31,0.6066,5.55,TAKE_PROFIT,5.06,True,1h,2026-03-08T18:36:22.399628
AA025217C8DDDD00,MTF_RSI_v1,DOTUSDT,LONG,2020-02-19 00:00:00,2020-02-19 03:41:59,3903.76367122,3928.98051106,3845.20721615,4001.357763,0.0866,866.49,0.646,5.6,TIME_EXIT,3.7,True,1h,2026-03-08T18:36:22.402706
5B5A2D9F77C2D92D,MTF_RSI_v1,LTCUSDT,LONG,2020-02-20 19:00:00,2020-02-20 22:41:29,4080.64606751,4104.37643416,4019.4363765,4182.6622192,0.0963,963.1,0.5815,5.6,TRAILING_STOP,3.69,True,1h,2026-03-08T18:36:22.400976
AE793F1DD25C31C5,MTF_RSI_v1,DOTUSDT,SHORT,2020-02-21 13:00:00,2020-02-21 15:53:56,3987.86615383,3963.75769518,4047.68414614,3888.16949998,0.0906,906.1,0.6045,5.48,TAKE_PROFIT,2.9,True,1h,2026-03-08T18:36:22.398344
