trade_id,strategy,symbol,direction,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,position_size_pct,capital_at_risk,pnl_pct,pnl_amount,exit_reason,hold_time_hours,is_win,timeframe,created_at
42FBB434889BD22F,VWAP_ELITE_v1,XRPUSDT,LONG,2020-01-03 07:00:00,2020-01-03 15:04:05,4536.46389527,4554.94193499,4468.41693684,4649.87549265,0.0866,866.23,0.4073,3.53,TIME_EXIT,8.07,True,1h,2026-03-08T18:36:22.482114
720E0AD23DBA5B49,VWAP_ELITE_v1,BNBUSDT,LONG,2020-01-03 12:00:00,2020-01-03 14:58:02,838.22803658,841.92907277,825.65461603,859.1837375,0.085,849.98,0.4415,3.75,TRAILING_STOP,2.97,True,1h,2026-03-08T18:36:22.483275
9EFA679A4E91F675,VWAP_ELITE_v1,SOLUSDT,LONG,2020-01-03 15:00:00,2020-01-04 01:34:50,1756.42666903,1762.95904883,1730.080269,1800.33733576,0.0823,822.73,0.3719,3.06,TIME_EXIT,10.58,True,1h,2026-03-08T18:36:22.480306
4C47E009C4F78AF5,VWAP_ELITE_v1,SOLUSDT,LONG,2020-01-06 06:00:00,2020-01-06 11:44:50,4074.30621675,4091.10006038,4013.19162349,4176.16387216,0.0938,937.93,0.4122,3.87,TRAILING_STOP,5.75,True,1h,2026-03-08T18:36:22.480315
409B3A001A5203E4,VWAP_ELITE_v1,ETHUSDT,LONG,2020-01-07 02:00:00,2020-01-07 12:52:54,3108.78082093,3125.41102456,3062.14910861,3186.50034145,0.1086,1085.74,0.5349,5.81,TIME_EXIT,10.88,True,1h,2026-03-08T18:36:22.479221
0344B9A7E9F138EC,VWAP_ELITE_v1,AVAXUSDT,LONG,2020-01-07 16:00:00,2020-01-07 18:01:42,2713.79023451,2728.76148936,2673.08338099,2781.63499037,0.1019,1019.03,0.5517,5.62,TAKE_PROFIT,2.03,True,1h,2026-03-08T18:36:22.479168
A60B364293810C03,VWAP_ELITE_v1,DOTUSDT,LONG,2020-01-08 01:00:00,2020-01-08 04:28:23,2617.32924156,2629.85168784,2578.06930294,2682.7624726,0.0941,941.24,0.4784,4.5,TRAILING_STOP,3.47,True,1h,2026-03-08T18:36:22.482646
667692763E0C7451,VWAP_ELITE_v1,BNBUSDT,LONG,2020-01-11 20:00:00,2020-01-12 06:23:56,3592.87859354,3579.45280431,3538.98541464,3682.70055838,0.0977,977.09,-0.3737,-3.65,STOP_LOSS,10.4,False,1h,2026-03-08T18:36:22.477671
6693717E0D61EFF1,VWAP_ELITE_v1,BTCUSDT,SHORT,2020-01-15 19:00:00,2020-01-16 02:11:27,37272.84205344,37021.47145397,37831.93468424,36341.0210021,0.1049,1048.72,0.6744,7.07,TIME_EXIT,7.19,True,1h,2026-03-08T18:36:22.483144
BA7F8C34EEB9922B,VWAP_ELITE_v1,LINKUSDT,LONG,2020-01-17 05:00:00,2020-01-17 16:33:45,3172.68735883,3194.22257954,3125.09704844,3252.0045428,0.0924,924.09,0.6788,6.27,TAKE_PROFIT,11.56,True,1h,2026-03-08T18:36:22.477748
2D84244314DF4A4C,VWAP_ELITE_v1,ETHUSDT,SHORT,2020-01-18 19:00:00,2020-01-18 22:07:01,3088.22664973,3068.38583686,3134.55004948,3011.02098349,0.1003,1002.67,0.6425,6.44,TAKE_PROFIT,3.12,True,1h,2026-03-08T18:36:22.481758
52BB6F564140DB97,VWAP_ELITE_v1,SOLUSDT,LONG,2020-01-19 08:00:00,2020-01-19 11:34:18,2038.42182992,2047.81263614,2007.84550247,2089.38237566,0.1157,1156.5,0.4607,5.33,TRAILING_STOP,3.57,True,1h,2026-03-08T18:36:22.475924
